Video Id,Author,Comment,Published At,Likes,Sentiment,Likes (Video),Dislikes (Video)
0WSNS6SUlOc,@imrantvbangla,ভিডিও এডিট ও ফেসবুক ইউটিউবের জন্য একটা নিব,2025-06-25T13:17:27Z,0,Neutral,3641,0
0WSNS6SUlOc,@careerinsiderbd,মাইক্রোসফট অফিসের বিষয়ে কিছু বললেন না স্যার?,2025-06-21T06:09:22Z,0,Neutral,3641,0
0WSNS6SUlOc,@JannatulFerdaus-l1i,Onk bhalo laglo onk 😊,2025-06-20T14:08:19Z,0,Positive,3641,0
0WSNS6SUlOc,@shamimsheikh5488,পুরাতন ল্যাপটপ কিনতে চাচ্ছি লাম,2025-06-18T10:36:16Z,0,Neutral,3641,0
0WSNS6SUlOc,@NusratJahan-kp5xq,"এতো সুন্দর করে বুঝিয়ে বলার জন্য অনেক ধন্যবাদ,",2025-06-18T04:54:08Z,0,Positive,3641,0
0WSNS6SUlOc,@shahadathosen-ku5wn,অসাধারণ লাগলো,2025-06-16T10:43:00Z,0,Positive,3641,0
0WSNS6SUlOc,@IphoneBackupMedia,"অনেক অনেক ভালো লাগলো ভাই,দোয়া রইলো আপনার জন্য।",2025-06-12T23:36:00Z,0,Positive,3641,0
0WSNS6SUlOc,@RICHHR-o8n,❤,2025-06-08T08:50:35Z,0,Positive,3641,0
0WSNS6SUlOc,@MdAdifKhan-k8m,❤🎉❤,2025-06-02T09:14:42Z,0,Positive,3641,0
0WSNS6SUlOc,@explorewithamzad8059,Thanks for this information ❤,2025-06-01T12:11:59Z,0,Positive,3641,0
0WSNS6SUlOc,@shahidulislam5538,"অনেক ধন্যবাদ ভাই,  ভালো লেগেছে 👌",2025-05-31T07:02:44Z,0,Positive,3641,0
0WSNS6SUlOc,@RokibHasan13,Ma sha Allah very helpful video❤❤❤❤❤❤,2025-05-31T01:58:24Z,0,Positive,3641,0
0WSNS6SUlOc,@mamanik6858,Thanks sir,2025-05-30T23:53:39Z,0,Positive,3641,0
0WSNS6SUlOc,@MdAlamin-or1xm,অনেক সুন্দর হয়েছে ভিডিও,2025-05-28T19:49:54Z,0,Positive,3641,0
0WSNS6SUlOc,@iqbalhossain8114,অসাধারণ ❤,2025-05-24T11:26:46Z,1,Positive,3641,0
0WSNS6SUlOc,@nasimhowlader1592,ধন্যবাদ সুন্দর করে বুঝিয়ে বলার জন্য।,2025-05-23T10:44:48Z,0,Positive,3641,0
0WSNS6SUlOc,@KAIF-on1zy,Best explanation for new user❤,2025-05-14T11:40:07Z,0,Positive,3641,0
0WSNS6SUlOc,@shakibhassan3973,"Vaya,, amake 1 laptop kine diben plz 80 k er moddhe",2025-05-14T03:11:32Z,0,Positive,3641,0
0WSNS6SUlOc,@ImranHossain-s5f,ধন্যবাদ।,2025-05-11T03:10:02Z,0,Neutral,3641,0
0WSNS6SUlOc,@abdulhelimkhan8480,ধন্যবাদ,2025-05-10T21:45:42Z,0,Neutral,3641,0
0WSNS6SUlOc,@imranali-sk1wm,"ভিডিওটা করা হয়েছে ভিডিওটা খুবই সুন্দর 
আমি পুরো ভিডিওটা মনোযোগ দিয়ে শুনলাম এখানে কারো বা কোন কোম্পানির কোন দালালি করা হয় নাই 
ধন্যবাদ সত্যিকার অর্থে ভিডিওতে কম্পিউটার সম্পর্কে সবকিছু ফুটিয়ে তোলার জন্য",2025-05-10T08:28:24Z,0,Positive,3641,0
0WSNS6SUlOc,@KamrulHasan-ue7xo,"আচ্ছা, 
40-50k এর মধ্যে Unofficial laptop কোনটা ভাল হবে, 
advance কাজ করব software development and graphics and 3d এর কাজ
বর্তমান ACER এর laptop use করে বাট ভাল পারফরম্যান্স পাচ্ছি না,",2025-05-10T06:58:53Z,0,Neutral,3641,0
0WSNS6SUlOc,@MdAbir-r3i7h,অনেক ধন্যবাদ ভাইয়া,2025-05-06T13:43:04Z,0,Neutral,3641,0
0WSNS6SUlOc,@ArafatPavel9fl,অনেক মূল্যবাল তথ্য পেয়েছি এবং অনেক কিছু জানতে পেরেছি ধন্যবাদ ভাই।খুবই ভালো একটি ভিডিও,2025-05-05T07:37:33Z,0,Positive,3641,0
0WSNS6SUlOc,@RafiaYasmin-m9u,ধন্যবাদ স্যার অনেক সুন্দর ভিডিও,2025-05-03T12:25:31Z,0,Neutral,3641,0
0WSNS6SUlOc,@Mujahid88-e2k,আসসালামু আলাইকুম ভাই। আপনারা সাথে যোগাযোগ করতে চাই।,2025-04-30T15:54:21Z,0,Neutral,3641,0
0WSNS6SUlOc,@nesarkawcer9057,Ajkei deke aslam laptop but bujte parcilam na ki ki deke nibo konta nibo.apnar video  deke kub besi help hoice amar jnno.onek onek thanks. Baiya akto blben kun brand ta valo hobe new user ar jnno.freelance krbe.,2025-04-29T14:06:59Z,0,Positive,3641,0
0WSNS6SUlOc,@jotiesha2897,অসাধারন ভিডিও। ধন্যবাদ,2025-04-27T10:57:22Z,0,Positive,3641,0
0WSNS6SUlOc,@SadatGaming980,Good,2025-04-26T12:48:02Z,1,Positive,3641,0
0WSNS6SUlOc,@SNazmulHasan-z1y,"HP core i5 laptop 8RAM 512
এই ল্যাপটপটা ভালো হবে নি আমাকে দয়া করে একটু জানাবেন",2025-04-25T09:01:54Z,0,Neutral,3641,0
0WSNS6SUlOc,@SNazmulHasan-z1y,আসসালামু আলাইকুম ভাই আমি সৌদি আরব থাকি আমি চাইতেছি একটা ভালো থেকে একটা ল্যাপটপ কিনতে চাইতেছি আপনি যদি একটু দয়া করে বলতেন কোন কোম্পানির ল্যাপটপ ভালো হবে,2025-04-25T08:57:48Z,0,Neutral,3641,0
0WSNS6SUlOc,@mizantv1151,অসাধারণ,2025-04-20T16:34:31Z,1,Positive,3641,0
0WSNS6SUlOc,@NilufaYesmin-h7c,বিস্তারিত বুঝিয়ে দেওয়ার জন্য আপনাকে অনেক ধন্যবাদ,2025-04-20T16:06:07Z,1,Positive,3641,0
0WSNS6SUlOc,@1mdomar,সুন্দর লাগলো,2025-04-20T05:14:04Z,1,Positive,3641,0
0WSNS6SUlOc,@raihanahmed3600,Good video ❤,2025-04-19T00:50:49Z,1,Positive,3641,0
0WSNS6SUlOc,@saifulchowdhury3147,সিপিইউ কিনতে হয়?এটা আপনি কী বললেন?,2025-04-18T12:22:12Z,1,Neutral,3641,0
0WSNS6SUlOc,@best-friend1263,Nice ❤❤,2025-04-15T09:59:18Z,1,Positive,3641,0
0WSNS6SUlOc,@tahsinatohfa4550,Onek din dhorei confused  chilam j kon lattop kinbo ki ki jana uchit kivabe decision nibo....? Eto video dekhchilam kintu tobuo clear hote parchilam na.... Then ajk apnar video ta shamne eshe amar ab confusion clear kore dilo.... Thank you so much.... Keep going ❤,2025-04-12T06:40:39Z,0,Positive,3641,0
